state,year,county,pt_wgwto,pt_wswto,pt_wtotl,pt_cutot,po_wgwto,po_wswto,po_wtotl,po_cutot,pc_wgwto,pc_wswto,pc_wtotl,pc_cutot
CA,1990,Lassen County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Lassen County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Los Angeles County,0,436,436,2.56,0,436,436,0,0,0,0,2.56
CA,2010,Los Angeles County,0.09,1361.26,1361.35,1.53,0,1361.26,1361.26,0,0.09,0,0.09,1.78
CA,2005,Los Angeles County,3.9,1768.54,1772.44,1.53,0,1768.54,1768.54,0,3.9,0,3.9,1.78
CA,2000,Los Angeles County,0.77,3534.26,3534.28,1.53,0.01,3534.26,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Los Angeles County,0,2419.87,2419.87,4.43,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Los Angeles County,0.77,2348.25,2348.25,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Los Angeles County,0.77,4076.27,4076.27,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Madera County,0,0,0,0.15,0,0,0,0,0,0,0,0.15
CA,2010,Madera County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Madera County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Madera County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Madera County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Madera County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Madera County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Marin County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Marin County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Marin County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Marin County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Marin County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Marin County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Marin County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Mariposa County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Mariposa County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Mariposa County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Mariposa County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Mariposa County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Mariposa County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Mariposa County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Mendocino County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Mendocino County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Mendocino County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Mendocino County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Mendocino County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Mendocino County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Mendocino County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Merced County,0.21,0,0.21,0.15,0,0,0,0,0.21,0,0.21,0.15
